model,attribute,group,n,actual_positive_rate,selection_rate,accuracy,precision,recall_tpr,f1,fpr,fnr
Baseline - sensitive features included,Sex,Female,3289,0.11158406810580723,0.07479477044694435,0.9212526603830952,0.7195121951219512,0.4822888283378747,0.5774877650897227,0.023613963039014373,0.5177111716621253
Baseline - sensitive features included,Sex,Male,6480,0.30416666666666664,0.25385802469135804,0.8135802469135802,0.7319148936170212,0.610857432775241,0.665929203539823,0.09780439121756487,0.389142567224759
Baseline - sensitive features included,Race,Non-White,1421,0.15411681914144967,0.11048557353976073,0.8902181562280085,0.7006369426751592,0.502283105022831,0.5851063829787234,0.039101497504159734,0.4977168949771689
Baseline - sensitive features included,Race,White,8348,0.25383325347388597,0.2077144226161955,0.8429563967417345,0.7329873125720877,0.5998112317130722,0.6597456527381261,0.07432974795312249,0.4001887682869278
Baseline - sensitive features included,Sex x Race,Female | Non-White,640,0.08125,0.046875,0.94375,0.7666666666666667,0.4423076923076923,0.5609756097560976,0.011904761904761904,0.5576923076923077
Baseline - sensitive features included,Sex x Race,Female | White,2649,0.11891279728199321,0.08154020385050963,0.9158172895432238,0.7129629629629629,0.4888888888888889,0.5800376647834274,0.026563838903170524,0.5111111111111111
Baseline - sensitive features included,Sex x Race,Male | Non-White,781,0.21382842509603073,0.16261203585147246,0.8463508322663252,0.6850393700787402,0.5209580838323353,0.5918367346938775,0.06514657980456026,0.47904191616766467
Baseline - sensitive features included,Sex x Race,Male | White,5699,0.31654676258992803,0.26636251974030534,0.8090893139147218,0.735836627140975,0.6191796008869179,0.6724864539434076,0.10295250320924262,0.380820399113082
Mitigation 1 - sex and race removed,Sex,Female,3289,0.11158406810580723,0.07844329583460018,0.9236850106415324,0.7248062015503876,0.5095367847411444,0.5984,0.0242984257357974,0.4904632152588556
Mitigation 1 - sex and race removed,Sex,Male,6480,0.30416666666666664,0.25092592592592594,0.8143518518518519,0.7361623616236163,0.6073059360730594,0.6655546288573811,0.09514304723885562,0.3926940639269406
Mitigation 1 - sex and race removed,Race,Non-White,1421,0.15411681914144967,0.12385643912737508,0.8895144264602393,0.6761363636363636,0.54337899543379,0.6025316455696202,0.04742096505823627,0.45662100456621
Mitigation 1 - sex and race removed,Race,White,8348,0.25383325347388597,0.20459990416866317,0.8446334451365597,0.740632318501171,0.5969797074091553,0.6610922393519728,0.07111895970460748,0.40302029259084476
Mitigation 1 - sex and race removed,Sex x Race,Female | Non-White,640,0.08125,0.05625,0.95,0.7777777777777778,0.5384615384615384,0.6363636363636364,0.013605442176870748,0.46153846153846156
Mitigation 1 - sex and race removed,Sex x Race,Female | White,2649,0.11891279728199321,0.08380520951302378,0.9173272933182333,0.7162162162162162,0.5047619047619047,0.5921787709497207,0.02699228791773779,0.49523809523809526
Mitigation 1 - sex and race removed,Sex x Race,Male | Non-White,781,0.21382842509603073,0.1792573623559539,0.8399487836107554,0.65,0.5449101796407185,0.5928338762214984,0.07980456026058631,0.4550898203592814
Mitigation 1 - sex and race removed,Sex x Race,Male | White,5699,0.31654676258992803,0.26074749956132653,0.8108440077206528,0.7442799461641992,0.6130820399113082,0.6723404255319149,0.0975609756097561,0.3869179600886918
Mitigation 2 - feature removal + reweighing,Sex,Female,3289,0.11158406810580723,0.12374581939799331,0.9087868653086044,0.5823095823095823,0.6457765667574932,0.6124031007751938,0.05817932922655715,0.3542234332425068
Mitigation 2 - feature removal + reweighing,Sex,Male,6480,0.30416666666666664,0.21172839506172839,0.8109567901234568,0.771865889212828,0.5372907153729072,0.6335626682620401,0.06941672211133289,0.4627092846270928
Mitigation 2 - feature removal + reweighing,Race,Non-White,1421,0.15411681914144967,0.13230119634060522,0.8768472906403941,0.6170212765957447,0.5296803652968036,0.5700245700245701,0.059900166389351084,0.4703196347031963
Mitigation 2 - feature removal + reweighing,Race,White,8348,0.25383325347388597,0.1905845711547676,0.838284619070436,0.7416719044626021,0.5568664464369986,0.6361185983827493,0.06598169850698346,0.44313355356300144
Mitigation 2 - feature removal + reweighing,Sex x Race,Female | Non-White,640,0.08125,0.0921875,0.9203125,0.5084745762711864,0.5769230769230769,0.5405405405405406,0.04931972789115646,0.4230769230769231
Mitigation 2 - feature removal + reweighing,Sex x Race,Female | White,2649,0.11891279728199321,0.13137032842582105,0.9060022650056625,0.5948275862068966,0.6571428571428571,0.6244343891402715,0.060411311053984576,0.34285714285714286
Mitigation 2 - feature removal + reweighing,Sex x Race,Male | Non-White,781,0.21382842509603073,0.16517285531370038,0.8412291933418694,0.6666666666666666,0.5149700598802395,0.581081081081081,0.07003257328990228,0.48502994011976047
Mitigation 2 - feature removal + reweighing,Sex x Race,Male | White,5699,0.31654676258992803,0.21810844007720653,0.8068082119670118,0.7827835880933226,0.5393569844789357,0.6386609780111585,0.0693196405648267,0.4606430155210643
